IndustryCode,IndustryName,Year,TurnoverDKK
06000,"Extraction of oil and gas",2000,522625
06000,"Extraction of oil and gas",2001,357657
06000,"Extraction of oil and gas",2002,3917111
06000,"Extraction of oil and gas",2003,29909465
06000,"Extraction of oil and gas",2004,38406549
06000,"Extraction of oil and gas",2005,52581712
06000,"Extraction of oil and gas",2006,59363084
06000,"Extraction of oil and gas",2007,55911045
06000,"Extraction of oil and gas",2008,67279393
06000,"Extraction of oil and gas",2009,42041002
06000,"Extraction of oil and gas",2010,49757108
06000,"Extraction of oil and gas",2011,57331656
06000,"Extraction of oil and gas",2012,54086675
06000,"Extraction of oil and gas",2013,48079918
06000,"Extraction of oil and gas",2014,41491630
06000,"Extraction of oil and gas",2015,26492776
06000,"Extraction of oil and gas",2016,18448493
06000,"Extraction of oil and gas",2017,23107184
06000,"Extraction of oil and gas",2018,25284150
06000,"Extraction of oil and gas",2019,20257676
06000,"Extraction of oil and gas",2020,8988850
06000,"Extraction of oil and gas",2021,12374942
06000,"Extraction of oil and gas",2022,25042691
06000,"Extraction of oil and gas",2023,16366641
06000,"Extraction of oil and gas",2024,14661387
08009,"Extraction of gravel and stone",2000,1894316
08009,"Extraction of gravel and stone",2001,1931227
08009,"Extraction of gravel and stone",2002,1721723
08009,"Extraction of gravel and stone",2003,1857811
08009,"Extraction of gravel and stone",2004,2100285
08009,"Extraction of gravel and stone",2005,2194426
08009,"Extraction of gravel and stone",2006,2525902
08009,"Extraction of gravel and stone",2007,2607731
08009,"Extraction of gravel and stone",2008,2615489
08009,"Extraction of gravel and stone",2009,2123761
08009,"Extraction of gravel and stone",2010,2049542
08009,"Extraction of gravel and stone",2011,2355696
08009,"Extraction of gravel and stone",2012,2481352
08009,"Extraction of gravel and stone",2013,2472396
08009,"Extraction of gravel and stone",2014,2646106
08009,"Extraction of gravel and stone",2015,2825456
08009,"Extraction of gravel and stone",2016,2960420
08009,"Extraction of gravel and stone",2017,2990699
08009,"Extraction of gravel and stone",2018,3293503
08009,"Extraction of gravel and stone",2019,3447124
08009,"Extraction of gravel and stone",2020,3504841
08009,"Extraction of gravel and stone",2021,3768488
08009,"Extraction of gravel and stone",2022,4710544
08009,"Extraction of gravel and stone",2023,4536320
08009,"Extraction of gravel and stone",2024,4184579
09000,"Mining support service activities",2000,0
09000,"Mining support service activities",2001,0
09000,"Mining support service activities",2002,0
09000,"Mining support service activities",2003,0
09000,"Mining support service activities",2004,0
09000,"Mining support service activities",2005,1277205
09000,"Mining support service activities",2006,1488221
09000,"Mining support service activities",2007,2168596
09000,"Mining support service activities",2008,2491894
09000,"Mining support service activities",2009,2760881
09000,"Mining support service activities",2010,2502905
09000,"Mining support service activities",2011,3304232
09000,"Mining support service activities",2012,4256483
09000,"Mining support service activities",2013,2290031
09000,"Mining support service activities",2014,2596145
09000,"Mining support service activities",2015,2440240
09000,"Mining support service activities",2016,1959030
09000,"Mining support service activities",2017,1155981
09000,"Mining support service activities",2018,1879602
09000,"Mining support service activities",2019,2989812
09000,"Mining support service activities",2020,2592523
09000,"Mining support service activities",2021,2822421
09000,"Mining support service activities",2022,3224521
09000,"Mining support service activities",2023,3969058
09000,"Mining support service activities",2024,4309921
10001,"Production of meat and meat products",2000,40053053
10001,"Production of meat and meat products",2001,43905008
10001,"Production of meat and meat products",2002,40466623
10001,"Production of meat and meat products",2003,37398657
10001,"Production of meat and meat products",2004,39406134
10001,"Production of meat and meat products",2005,39089067
10001,"Production of meat and meat products",2006,40169669
10001,"Production of meat and meat products",2007,38661134
10001,"Production of meat and meat products",2008,40754698
10001,"Production of meat and meat products",2009,38051114
10001,"Production of meat and meat products",2010,39519029
10001,"Production of meat and meat products",2011,43257884
10001,"Production of meat and meat products",2012,45217783
10001,"Production of meat and meat products",2013,45078473
10001,"Production of meat and meat products",2014,42539778
10001,"Production of meat and meat products",2015,40380112
10001,"Production of meat and meat products",2016,40915138
10001,"Production of meat and meat products",2017,43137370
10001,"Production of meat and meat products",2018,41747281
10001,"Production of meat and meat products",2019,46565789
10001,"Production of meat and meat products",2020,47776628
10001,"Production of meat and meat products",2021,47584368
10001,"Production of meat and meat products",2022,53295307
10001,"Production of meat and meat products",2023,50884743
10001,"Production of meat and meat products",2024,51319826
10002,"Processing and preserving of fish",2000,11023258
10002,"Processing and preserving of fish",2001,12500830
10002,"Processing and preserving of fish",2002,12342118
10002,"Processing and preserving of fish",2003,10993759
10002,"Processing and preserving of fish",2004,11135036
10002,"Processing and preserving of fish",2005,11018208
10002,"Processing and preserving of fish",2006,12504660
10002,"Processing and preserving of fish",2007,14008308
10002,"Processing and preserving of fish",2008,14537710
10002,"Processing and preserving of fish",2009,12978244
10002,"Processing and preserving of fish",2010,12805832
10002,"Processing and preserving of fish",2011,12372862
10002,"Processing and preserving of fish",2012,12056856
10002,"Processing and preserving of fish",2013,14027742
10002,"Processing and preserving of fish",2014,14000145
10002,"Processing and preserving of fish",2015,14698662
10002,"Processing and preserving of fish",2016,14972622
10002,"Processing and preserving of fish",2017,15928785
10002,"Processing and preserving of fish",2018,15775442
10002,"Processing and preserving of fish",2019,14703608
10002,"Processing and preserving of fish",2020,13927265
10002,"Processing and preserving of fish",2021,14192293
10002,"Processing and preserving of fish",2022,16639186
10002,"Processing and preserving of fish",2023,14550910
10002,"Processing and preserving of fish",2024,15581348
10039,"Manufacture of dairy, grain mill and bakery products",2000,27385073
10039,"Manufacture of dairy, grain mill and bakery products",2001,28655102
